TF,TargetGene,Effect,PMID,DATABASEA
AR,AKR1C3,Repression,22971343,UNIPROT
CREBBP,ALOX15,Activation,12517954,UNIPROT
EP300,ALOX15,Activation,12517954,UNIPROT
SP1,ALOX5,Activation,19781662,UNIPROT
MECP2,ALOX5,Repression,19781662,UNIPROT
MBD2,ALOX5,Repression,19781662,UNIPROT
MBD1,ALOX5,Repression,19781662,UNIPROT
ARNT,CYP1A1,Activation,17012224,UNIPROT
AHR,CYP1A1,Activation,17012224,UNIPROT
AHR,CYP1A1,Activation,9865727,UNIPROT
ARNT,CYP1A1,Activation,22387692,UNIPROT
AHR,CYP1B1,Activation,17012224,UNIPROT
AHR,CYP1B1,Activation,16115918,UNIPROT
ARNT,CYP1B1,Activation,16115918,UNIPROT
SP1,CYP1B1,Activation,12801909,UNIPROT
HDAC2,HPGD,Repression,19010907,UNIPROT
SNAI1,HPGD,Repression,19010907,UNIPROT
TFAP2B,PTGDS,Activation,15743775,UNIPROT
HES1,PTGDS,Repression,15743775,UNIPROT
EGR1,PTGES,Activation,21983014,UNIPROT
ETS1,TBXAS1,Activation,14586398,UNIPROT
TP53,TBXAS1,Repression,14586398,UNIPROT
PPARA,CPT1A,Activation,17150915,UNIPROT
PPARG,CPT1B,Activation,15356291,UNIPROT
MEF2C,CPT1B,Activation,15356291,UNIPROT
RORA,CPT1B,Activation,15199055,UNIPROT
RXRA,CPT1B,Activation,15356291,UNIPROT
EP300,CPT1B,Activation,15199055,UNIPROT
PPARGC1A,CPT1B,Activation,15199055,UNIPROT
PPARD,SLC25A20,Activation,19577614,UNIPROT
PPARA,SLC25A20,Activation,19577614,UNIPROT
HNF1A,AKR1C4,Activation,2044952,UNIPROT
HNF4A,AKR1C4,Activation,2044952,UNIPROT
HNF1B,AKR1C4,Activation,2044952,UNIPROT
HNF4G,AKR1C4,Activation,2044952,UNIPROT
SP1,CYP27A1,Activation,11867220,UNIPROT
SP3,CYP27A1,Activation,11867220,UNIPROT
HNF4A,CYP27A1,Activation,11867220,UNIPROT
NCOA1,CYP7A1,Activation,16891307,UNIPROT
DBP,CYP7A1,Activation,8617210,UNIPROT
TFEB,CYP7A1,Activation,33176151,UNIPROT
PPARGC1A,CYP7A1,Activation,16891307,UNIPROT
AR,CYP7B1,Repression,16630558,UNIPROT
SP1,DHCR24,Activation,22431021,UNIPROT
SREBF2,HMGCR,Activation,31848472,UNIPROT
SREBF2,SQLE,Activation,31848472,UNIPROT
SP1,PCYT1A,Activation,10744779,UNIPROT
SP2,PCYT1A,Repression,10744779,UNIPROT
SP3,PCYT1A,Activation,10744779,UNIPROT
ACSS2,GBA,Activation,28552616,UNIPROT
TFEB,GBA,Activation,28552616,UNIPROT
TFE3,GBA,Activation,24448649,UNIPROT
TFE3,GLA,Activation,24448649,UNIPROT
TFEB,GLA,Activation,19556463,UNIPROT
TFEB,HEXA,Activation,19556463,UNIPROT
TFE3,HEXA,Activation,24448649,UNIPROT
TFEB,NEU1,Activation,19556463,UNIPROT
MYC,ST3GAL3,Activation,22547830,UNIPROT
ATF2,ST3GAL5,Activation,21699754,UNIPROT
SP1,UGCG,Activation,15342415,UNIPROT
IRX1,UGT8,Activation,20440264,UNIPROT
TFEB,APOA4,Activation,33176151,UNIPROT
RAD21,APOB,Repression,25575569,UNIPROT
NCOA1,APOC3,Activation,16891307,UNIPROT
PPARGC1A,APOC3,Activation,16891307,UNIPROT
SREBF2,LDLR,Activation,21123766,UNIPROT
HNF4A,LDLR,Activation,21123766,UNIPROT
CRP,LPL,Activation,18708524,UNIPROT
TGFB1,LPL,Activation,11742878,UNIPROT
IFNG,LPL,Repression,2114181,UNIPROT
INS,LPL,Activation,21966368,UNIPROT
TNF,LPL,Repression,3063839,UNIPROT
IFNG,LPL,Repression,10909770,UNIPROT
TNF,LPL,Repression,16106106,UNIPROT
SREBF1,MTTP,Activation,11111091,UNIPROT
PPARA,ACSL1,Activation,17150915,UNIPROT
NFIL3,CYP3A4,Repression,18004209,UNIPROT
NR1I2,CYP3A4,Activation,18540626,UNIPROT
DBP,CYP3A4,Activation,18004209,UNIPROT
VDR,CYP3A4,Activation,12147248,UNIPROT
NFATC1,PTGS2,Activation,21871017,UNIPROT
IRX1,PTGS2,Activation,20440264,UNIPROT
NFATC3,PTGS2,Activation,21871017,UNIPROT
NFATC4,PTGS2,Activation,21871017,UNIPROT
NFATC2,PTGS2,Activation,21871017,UNIPROT
TET1,PTEN,Activation,27121319,UNIPROT
KDM5C,PTEN,Repression,30921702,UNIPROT
KDM5A,PTEN,Repression,31374292,UNIPROT
BMI1,PTEN,Repression,19884659,UNIPROT
SALL4,PTEN,Repression,19440552,UNIPROT
